date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:54	46425/46425	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Aug%202020%2006:17:00%20GMT	https://aircooleradvisor.org/nexcooler-review-n/	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/nexcooler-review-n/index.html	(from )
10:31:54	69/69	---M-Z	200	added ('OK')	text/plain	date:Fri,%2028%20Aug%202020%2014:31:53%20GMT	https://aircooleradvisor.org/robots.txt		(from )
10:31:55	190979/190979	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Jul%202020%2008:49:17%20GMT	https://aircooleradvisor.org/wp-content/cache/min/1/2bca0d3ec48e1027400874233bae6c7e.css	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/cache/min/1/2bca0d3ec48e1027400874233bae6c7e.css	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:55	318/318	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Jul%202019%2008:21:26%20GMT	https://aircooleradvisor.org/wp-content/uploads/2019/07/f.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2019/07/f.png	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:55	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Jun%202020%2012:29:47%20GMT	https://aircooleradvisor.org/wp-content/cache/busting/1/wp-includes/js/jquery/jquery-1.12.4-wp.js	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/cache/busting/1/wp-includes/js/jquery/jquery-1.12.4-wp.js	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:55	2316/2316	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202020%2019:59:44%20GMT	https://aircooleradvisor.org/wp-content/uploads/2019/07/cropped-logomain1-32x32.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2019/07/cropped-logomain1-32x32.png	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:55	29280/29280	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202020%2019:59:44%20GMT	https://aircooleradvisor.org/wp-content/uploads/2019/07/cropped-logomain1-192x192.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2019/07/cropped-logomain1-192x192.png	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:56	28669/28669	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202020%2019:59:44%20GMT	https://aircooleradvisor.org/wp-content/uploads/2019/07/cropped-logomain1-180x180.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2019/07/cropped-logomain1-180x180.png	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:56	24662/24662	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Aug%202020%2014:31:56%20GMT	https://aircooleradvisor.org/nexcooler-review-n/images/quote.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/nexcooler-review-n/images/quote.png	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:56	12921/12921	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jun%202020%2010:06:21%20GMT	https://aircooleradvisor.org/wp-content/uploads/2020/06/aircooler-advisor.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2020/06/aircooler-advisor.png	(from https://aircooleradvisor.org/nexcooler-review-n/)
